make,model,variant,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,best_resale,seats_cat
Jeep,Compass,1.4 LIMITED PLUS BSIV,21.0,0 - 10000 Km,Petrol,Individual,Automatic,1st owner,16.0,1.37,160.77,5.0,3.0,No,5andBelow
Honda,City,I VTEC VX,9.25,20000 - 30000 Km,Petrol,Dealer,Manual,1st owner,17.8,1.5,117.3,5.0,4.0,yes,5andBelow
Honda,City,V MT,4.25,80000 - 90000 Km,Petrol,Dealer,Manual,1st owner,16.8,1.5,116.3,5.0,9.0,yes,5andBelow
Maruti,Swift Dzire,VXI AT,6.75,20000 - 30000 Km,Petrol,Dealer,Automatic,1st owner,18.5,1.2,83.14,5.0,4.0,yes,5andBelow
Maruti,Vitara,BREZZA VDI,8.2,30000 - 40000 Km,Diesel,Dealer,Manual,1st owner,24.3,1.25,88.5,5.0,4.0,yes,5andBelow
Maruti,Alto,K10 VXI,3.9,10000 - 20000 Km,Petrol,Dealer,Manual,1st owner,23.95,1.0,67.05,5.0,4.0,yes,5andBelow
Toyota,Fortuner,4X4 MT,15.0,70000 - 80000 Km,Diesel,Dealer,Manual,1st owner,12.55,2.98,168.5,7.0,8.0,yes,btwn6and8
Toyota,Innova,2.5 G (DIESEL) 7 SEATER BS IV,7.0,90000 - 100000 Km,Diesel,Dealer,Manual,1st owner,12.99,2.49,100.0,7.0,9.0,yes,btwn6and8
Mercedes-Benz,B-Class,B180,14.5,20000 - 30000 Km,Diesel,Dealer,Automatic,2nd owner,14.8,2.14,120.7,5.0,8.0,No,5andBelow
Honda,Amaze,S DIESEL,4.25,40000 - 50000 Km,Diesel,Dealer,Manual,1st owner,24.7,1.5,98.63,5.0,7.0,yes,5andBelow
Mitsubishi,Pajero,SPORT 4X4,10.9,150000 - 160000 Km,Diesel,Dealer,Manual,1st owner,13.5,2.48,175.56,7.0,9.0,No,btwn6and8
Honda,City,I DTEC S,6.0,50000 - 60000 Km,Diesel,Dealer,Manual,1st owner,25.2,1.5,98.6,5.0,7.0,yes,5andBelow
Maruti,Ciaz,ZETA,8.5,60000 - 70000 Km,Petrol,Dealer,Manual,1st owner,20.65,1.46,103.25,5.0,4.0,yes,5andBelow
Honda,Jazz,VX DIESEL,5.25,60000 - 70000 Km,Diesel,Dealer,Manual,1st owner,25.2,1.5,98.6,5.0,7.0,yes,5andBelow
Toyota,Innova,CRYSTA 2.8 ZX AT BSIV,16.5,120000 - 130000 Km,Diesel,Dealer,Automatic,2nd owner,11.36,2.76,171.5,7.0,6.0,yes,btwn6and8
Toyota,Innova,2.5 G (DIESEL) 7 SEATER,9.5,90000 - 100000 Km,Diesel,Dealer,Manual,1st owner,12.99,2.49,100.6,7.0,6.0,yes,btwn6and8
Audi,A6,2.0 TDI TECHNOLOGY,17.5,30000 - 40000 Km,Diesel,Dealer,Automatic,2nd owner,17.68,1.97,174.33,5.0,9.0,No,5andBelow
Toyota,Corolla,ALTIS 1.8 VL CVT,15.9,20000 - 30000 Km,Petrol,Dealer,Automatic,1st owner,14.28,1.8,138.03,5.0,4.0,yes,5andBelow
Audi,A6,2.0 TDI  DESIGN EDITION,16.9,40000 - 50000 Km,Diesel,Dealer,Automatic,1st owner,18.53,1.97,187.74,5.0,9.0,No,5andBelow
Mercedes-Benz,New C-Class,220 CDI AT,14.25,50000 - 60000 Km,Diesel,Dealer,Automatic,1st owner,14.84,2.14,170.0,5.0,9.0,No,5andBelow
Tata,Manza,ELAN QUADRAJET BS IV,2.65,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,21.12,1.25,88.8,5.0,11.0,yes,5andBelow
Hyundai,i10,MAGNA,1.9,100000 - 110000 Km,Petrol,Individual,Manual,3rd owner,20.36,1.2,78.9,5.0,11.0,yes,5andBelow
Hyundai,i20,ASTA 1.4 CRDI,4.25,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,21.27,1.4,88.76,5.0,9.0,yes,5andBelow
Maruti,Swift Dzire,ZDI,6.3,140000 - 150000 Km,Diesel,Individual,Manual,2nd owner,25.2,1.25,74.0,5.0,7.0,yes,5andBelow
Ford,Figo,1.2P TITANIUM MT,6.0,20000 - 30000 Km,Petrol,Individual,Manual,3rd owner,18.16,1.2,86.8,5.0,5.0,No,5andBelow
Maruti,Baleno,DELTA 1.2,6.5,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,21.4,1.2,83.1,5.0,3.0,yes,5andBelow
Volkswagen,Ameo,1.5 TDI HIGHLINE 16 ALLOY,5.4,30000 - 40000 Km,Diesel,Individual,Manual,1st owner,22.0,1.5,108.495,5.0,6.0,No,5andBelow
Honda,City,I DTEC VX,6.3,130000 - 140000 Km,Diesel,Individual,Manual,1st owner,25.1,1.5,98.6,5.0,7.0,yes,5andBelow
Maruti,Wagon,R AMT VXI,4.48,20000 - 30000 Km,Petrol,Individual,Automatic,1st owner,20.51,1.0,67.0,5.0,4.0,yes,5andBelow
Volkswagen,Ameo,1.5 TDI COMFORTLINE,5.0,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,21.66,1.5,108.62,5.0,5.0,No,5andBelow
Maruti,Vitara,BREZZA VDI,7.45,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,24.3,1.25,88.5,5.0,6.0,yes,5andBelow
Maruti,Vitara,BREZZA ZDI PLUS AMT,10.25,0 - 10000 Km,Diesel,Individual,Automatic,1st owner,24.3,1.25,88.5,5.0,3.0,yes,5andBelow
Hyundai,i10,MAGNA,2.35,50000 - 60000 Km,Petrol,Individual,Manual,2nd owner,20.36,1.2,78.9,5.0,11.0,yes,5andBelow
Maruti,Swift,VDI DECA,6.3,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,74.0,5.0,6.0,yes,5andBelow
Toyota,Fortuner,4X4 MT,17.0,70000 - 80000 Km,Diesel,Individual,Manual,2nd owner,12.55,2.98,168.5,7.0,7.0,yes,btwn6and8
Maruti,Swift,STAR VDI,4.5,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,22.9,1.25,74.0,5.0,9.0,yes,5andBelow
Maruti,Ertiga,ZXI,4.5,110000 - 120000 Km,Petrol,Individual,Manual,2nd owner,16.02,1.37,93.7,7.0,10.0,yes,btwn6and8
Tata,Indica,DLS,0.5,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,17.0,1.25,53.5,5.0,19.0,yes,5andBelow
Volkswagen,Vento,DIESEL HIGHLINE,4.5,160000 - 170000 Km,Diesel,Individual,Manual,1st owner,20.54,1.6,103.6,5.0,9.0,No,5andBelow
Toyota,Innova,2.5 VX (DIESEL) 8 SEATER,12.0,130000 - 140000 Km,Diesel,Individual,Manual,1st owner,12.99,2.49,100.6,8.0,6.0,yes,btwn6and8
Ford,EcoSport,1.5 TDCI TITANIUM PLUS BSIV,6.1,80000 - 90000 Km,Diesel,Individual,Manual,1st owner,22.77,1.5,98.59,5.0,7.0,No,5andBelow
BMW,X1,SDRIVE20I XLINE,25.0,20000 - 30000 Km,Petrol,Individual,Automatic,2nd owner,15.71,2.0,189.0,5.0,6.0,No,5andBelow
Maruti,Celerio,ZXI MT BSIV,4.85,0 - 10000 Km,Petrol,Dealer,Manual,1st owner,23.1,1.0,67.04,5.0,5.0,yes,5andBelow
Datsun,GO,A PETROL,2.75,40000 - 50000 Km,Petrol,Dealer,Manual,1st owner,19.02,1.2,67.05,5.0,6.0,No,5andBelow
Maruti,Alto,800 VXI BSIV,3.15,30000 - 40000 Km,Petrol,Dealer,Manual,1st owner,24.7,0.8,47.3,5.0,6.0,yes,5andBelow
Maruti,Alto,800 LXI BSIV,2.75,30000 - 40000 Km,Petrol,Dealer,Manual,1st owner,24.7,0.8,47.3,5.0,6.0,yes,5andBelow
Maruti,Swift,VDI BSIV W ABS,4.75,70000 - 80000 Km,Diesel,Dealer,Manual,1st owner,17.8,1.25,74.0,5.0,7.0,yes,5andBelow
Hyundai,i10,ERA 1.1,2.9,20000 - 30000 Km,Petrol,Dealer,Manual,1st owner,19.81,1.09,68.05,5.0,10.0,yes,5andBelow
Maruti,Omni,8 SEATER BSIV,2.8,30000 - 40000 Km,Petrol,Dealer,Manual,1st owner,14.0,0.8,35.0,5.0,5.0,yes,5andBelow
Maruti,Wagon,R LXI LPG BSIV,2.25,40000 - 50000 Km,Petrol + AltFuel,Dealer,Manual,1st owner,25.2,1.0,58.2,5.0,12.0,yes,5andBelow
Volkswagen,Polo,1.2 MPI COMFORTLINE,4.55,40000 - 50000 Km,Petrol,Dealer,Manual,1st owner,16.47,1.2,74.0,5.0,7.0,No,5andBelow
Hyundai,i10,MAGNA 1.1L,3.51,40000 - 50000 Km,Petrol,Dealer,Manual,2nd owner,19.81,1.09,68.05,5.0,7.0,yes,5andBelow
Volkswagen,Vento,PETROL HIGHLINE,5.35,10000 - 20000 Km,Petrol,Dealer,Manual,2nd owner,15.04,1.6,103.6,5.0,10.0,No,5andBelow
Maruti,Zen,ESTILO LXI BSIII,1.75,50000 - 60000 Km,Petrol,Dealer,Manual,1st owner,18.2,1.0,67.1,5.0,13.0,yes,5andBelow
Hyundai,i20,ASTA OPTIONAL WITH SUNROOF 1.2,5.25,60000 - 70000 Km,Petrol,Dealer,Manual,1st owner,18.5,1.2,82.85,5.0,9.0,yes,5andBelow
Maruti,Swift Dzire,LDI,6.0,140000 - 150000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,74.0,5.0,6.0,yes,5andBelow
Hyundai,Xcent,1.2 KAPPA SX OPTION AT,5.65,70000 - 80000 Km,Petrol,Dealer,Automatic,1st owner,19.1,1.2,82.0,5.0,6.0,yes,5andBelow
Maruti,Alto,LX BSIII,1.2,60000 - 70000 Km,Petrol,Dealer,Manual,3rd owner,19.7,0.8,46.3,5.0,14.0,yes,5andBelow
Hyundai,i20,1.4 ASTA OPTION,7.25,100000 - 110000 Km,Diesel,Individual,Manual,1st owner,22.54,1.4,88.73,5.0,5.0,yes,5andBelow
Maruti,Wagon,R VXI,1.85,70000 - 80000 Km,Petrol,Dealer,Manual,2nd owner,21.79,1.0,67.05,5.0,13.0,yes,5andBelow
Tata,Manza,AURA (ABS) QUADRAJET,2.0,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,18.8,1.25,90.0,5.0,12.0,yes,5andBelow
Maruti,Swift,VXI,6.15,0 - 10000 Km,Petrol,Individual,Manual,1st owner,21.21,1.2,81.8,5.0,3.0,yes,5andBelow
Maruti,Eeco,7 SEATER STANDARD BSIV,2.7,90000 - 100000 Km,Petrol,Individual,Manual,3rd owner,15.37,1.2,73.0,7.0,6.0,yes,btwn6and8
Maruti,Baleno,ZETA 1.2,6.1,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,21.4,1.2,83.1,5.0,4.0,yes,5andBelow
Mahindra,Scorpio,VLX AT AIRBAG BSIV,6.25,60000 - 70000 Km,Diesel,Individual,Automatic,2nd owner,11.79,2.18,120.0,8.0,8.0,yes,btwn6and8
Ford,Freestyle,TITANIUM PETROL BSIV,4.0,0 - 10000 Km,Petrol,Individual,Manual,2nd owner,19.0,1.19,94.68,5.0,2.0,No,5andBelow
Hyundai,Verna,VTVT 1.6 SX,8.66,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,17.0,1.59,121.3,5.0,5.0,yes,5andBelow
Volkswagen,Passat,1.8 TSI MT,7.0,110000 - 120000 Km,Petrol,Individual,Manual,1st owner,14.3,1.8,160.0,5.0,12.0,No,5andBelow
Tata,Indica,VISTA AURA 1.2 SAFIRE (ABS) BS IV,3.0,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,15.8,1.17,65.0,5.0,12.0,yes,5andBelow
Mahindra,XUV500,W11 OPTION AWD,17.0,30000 - 40000 Km,Diesel,Individual,Manual,1st owner,15.1,2.18,155.0,7.0,3.0,yes,btwn6and8
Tata,Indigo,CS LS (TDI) BS-III,3.75,90000 - 100000 Km,Diesel,Individual,Manual,1st owner,19.09,1.4,69.01,5.0,6.0,yes,5andBelow
Hyundai,Verna,1.6 SX,5.22,140000 - 150000 Km,Diesel,Individual,Manual,2nd owner,22.32,1.58,126.32,5.0,9.0,yes,5andBelow
Hyundai,i20,MAGNA 1.4 CRDI (DIESEL),4.52,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,21.9,1.4,88.76,5.0,9.0,yes,5andBelow
Toyota,Corolla,ALTIS G,3.0,90000 - 100000 Km,Petrol,Individual,Manual,2nd owner,14.53,1.8,138.1,5.0,13.0,yes,5andBelow
Maruti,Celerio,VXI,4.75,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,21.63,1.0,67.04,5.0,2.0,yes,5andBelow
Maruti,Vitara,BREZZA ZDI PLUS DUAL TONE,7.8,50000 - 60000 Km,Diesel,Individual,Manual,1st owner,24.3,1.25,88.5,5.0,6.0,yes,5andBelow
Maruti,Swift Dzire,VXI,5.95,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,20.85,1.2,83.14,5.0,5.0,yes,5andBelow
Maruti,Wagon,R VXI BS IV,4.4,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,20.51,1.0,67.04,5.0,5.0,yes,5andBelow
Maruti,Swift,VDI BSIV,3.0,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,17.8,1.25,74.0,5.0,12.0,yes,5andBelow
Nissan,Terrano,XL 85 PS,4.0,60000 - 70000 Km,Diesel,Individual,Manual,3rd owner,20.45,1.46,83.8,5.0,8.0,No,5andBelow
Hyundai,Creta,1.6 CRDI SX,11.4,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,19.67,1.58,126.2,5.0,6.0,yes,5andBelow
Ford,EcoSport,1.5 DIESEL TITANIUM PLUS BSIV,8.5,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,23.0,1.5,98.96,5.0,5.0,No,5andBelow
Maruti,Swift Dzire,VDI,3.7,170000 - 180000 Km,Diesel,Individual,Manual,4th & above owner,19.3,1.25,73.9,5.0,10.0,yes,5andBelow
Renault,KWID,1.0,3.5,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,23.01,1.0,67.0,5.0,4.0,No,5andBelow
Maruti,Celerio,VXI,3.6,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,23.1,1.0,67.04,5.0,7.0,yes,5andBelow
Maruti,Alto,LXI,1.05,60000 - 70000 Km,Petrol,Individual,Manual,4th & above owner,19.7,0.8,46.3,5.0,14.0,yes,5andBelow
Maruti,Ertiga,VDI,6.25,80000 - 90000 Km,Diesel,Individual,Manual,2nd owner,20.77,1.25,88.76,7.0,9.0,yes,btwn6and8
Hyundai,Santro,XING GLS,1.35,70000 - 80000 Km,Petrol,Individual,Manual,2nd owner,17.92,1.09,62.1,5.0,13.0,yes,5andBelow
Maruti,Ertiga,VDI,7.0,100000 - 110000 Km,Diesel,Individual,Manual,2nd owner,20.77,1.25,88.76,7.0,7.0,yes,btwn6and8
Honda,Amaze,S I-VTEC,6.9,0 - 10000 Km,Petrol,Dealer,Manual,1st owner,17.8,1.2,86.7,5.0,3.0,yes,5andBelow
Jaguar,XF,2.0 DIESEL PORTFOLIO,32.0,40000 - 50000 Km,Diesel,Dealer,Automatic,1st owner,19.33,2.0,177.0,5.0,5.0,No,5andBelow
Skoda,Superb,LK 1.8 TSI AT,18.65,40000 - 50000 Km,Petrol,Dealer,Automatic,1st owner,14.67,1.8,177.46,5.0,4.0,No,5andBelow
Mercedes-Benz,E-Class,E250 EDITION E,27.0,30000 - 40000 Km,Diesel,Dealer,Automatic,1st owner,15.0,2.14,204.0,5.0,6.0,No,5andBelow
MG,Hector,SHARP AT BSIV,17.5,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,13.96,1.45,141.0,5.0,3.0,No,5andBelow
Honda,City,I-VTEC CVT VX,7.95,40000 - 50000 Km,Petrol,Dealer,Automatic,1st owner,18.0,1.5,117.6,5.0,5.0,yes,5andBelow
Toyota,Corolla,ALTIS 1.8 G CVT,6.25,30000 - 40000 Km,Petrol,Dealer,Automatic,1st owner,14.28,1.8,138.03,5.0,9.0,yes,5andBelow
Maruti,Ciaz,ZDI,5.35,30000 - 40000 Km,Diesel,Dealer,Manual,1st owner,25.2,1.25,88.5,5.0,7.0,yes,5andBelow
BMW,5-Series,523I,9.75,70000 - 80000 Km,Petrol,Dealer,Automatic,2nd owner,10.8,2.5,150.0,5.0,12.0,No,5andBelow
Hyundai,Elantra,S,8.05,40000 - 50000 Km,Petrol,Dealer,Manual,1st owner,16.3,1.8,147.5,5.0,6.0,yes,5andBelow
Jaguar,XE,2016-2019 2.0L DIESEL PRESTIGE,26.25,0 - 10000 Km,Diesel,Dealer,Automatic,1st owner,13.6,2.0,177.0,5.0,5.0,No,5andBelow
Tata,Nexon,1.2 REVOTRON XZ PLUS DUAL TONE,8.11,10000 - 20000 Km,Petrol,Dealer,Manual,1st owner,17.0,1.2,108.5,5.0,4.0,yes,5andBelow
Volkswagen,Vento,PETROL HIGHLINE,3.75,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,15.04,1.6,103.6,5.0,11.0,No,5andBelow
Hyundai,Elantra,SX,5.5,90000 - 100000 Km,Petrol,Individual,Manual,1st owner,16.3,1.8,147.5,5.0,10.0,yes,5andBelow
Skoda,Rapid,1.6 MPI AT ELEGANCE,6.45,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,14.3,1.6,103.5,5.0,6.0,No,5andBelow
Mercedes-Benz,CLA,200 CGI SPORT,25.5,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,15.04,1.99,183.0,5.0,4.0,No,5andBelow
Maruti,Ertiga,ZXI,5.99,40000 - 50000 Km,Petrol,Dealer,Manual,1st owner,16.02,1.37,93.7,7.0,8.0,yes,btwn6and8
Mercedes-Benz,New C-Class,C 200 AVANTGARDE,27.0,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,14.74,1.99,181.04,5.0,5.0,No,5andBelow
Honda,City,V AT,8.75,10000 - 20000 Km,Petrol,Dealer,Automatic,1st owner,15.6,1.5,116.3,5.0,5.0,yes,5andBelow
Toyota,Glanza,V CVT,8.95,0 - 10000 Km,Petrol,Dealer,Automatic,1st owner,19.56,1.2,81.8,5.0,3.0,yes,5andBelow
Maruti,Alto,K10 VXI,1.75,10000 - 20000 Km,Petrol,Dealer,Manual,1st owner,23.95,1.0,67.05,5.0,11.0,yes,5andBelow
Maruti,Swift,VXI,3.4,20000 - 30000 Km,Petrol,Dealer,Manual,1st owner,21.21,1.2,81.8,5.0,10.0,yes,5andBelow
Toyota,Innova,CRYSTA 2.8 ZX AT BSIV,15.25,40000 - 50000 Km,Diesel,Dealer,Automatic,2nd owner,11.36,2.76,171.5,7.0,6.0,yes,btwn6and8
Tata,Nexon,1.5 REVOTORQ XZA PLUS DUALTONE,10.25,0 - 10000 Km,Diesel,Dealer,Automatic,1st owner,21.5,1.5,108.5,5.0,4.0,yes,5andBelow
BMW,3-Series,320D LUXURY LINE,21.5,20000 - 30000 Km,Diesel,Dealer,Automatic,1st owner,22.69,2.0,190.0,5.0,6.0,No,5andBelow
Toyota,Camry,2.5 HYBRID,19.0,40000 - 50000 Km,Petrol,Dealer,Automatic,1st owner,19.16,2.49,157.7,5.0,6.0,yes,5andBelow
BMW,5-Series,520D LUXURY LINE,29.0,10000 - 20000 Km,Diesel,Dealer,Automatic,1st owner,18.12,2.0,190.0,5.0,6.0,No,5andBelow
Toyota,Camry,W4 (AT),4.5,70000 - 80000 Km,Petrol,Dealer,Automatic,1st owner,12.1,2.36,164.7,5.0,13.0,yes,5andBelow
Maruti,Ertiga,BSIV ZXI PLUS,8.5,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,17.5,1.37,91.1,7.0,6.0,yes,btwn6and8
Volkswagen,Vento,DIESEL HIGHLINE,3.0,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,20.54,1.6,103.6,5.0,11.0,No,5andBelow
Ford,Figo,ASPIRE 1.2 TI-VCT TREND,5.75,0 - 10000 Km,Petrol,Individual,Manual,1st owner,18.16,1.2,86.8,5.0,4.0,No,5andBelow
Ford,Figo,DIESEL LXI,1.6,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,20.0,1.4,68.0,5.0,11.0,No,5andBelow
Maruti,Swift,VXI OPTIONAL,5.15,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,20.4,1.2,81.8,5.0,7.0,yes,5andBelow
Maruti,Wagon,R AMT VXI,3.9,40000 - 50000 Km,Petrol,Individual,Automatic,2nd owner,20.51,1.0,67.0,5.0,7.0,yes,5andBelow
Hyundai,i20,MAGNA 1.2,5.5,10000 - 20000 Km,Petrol,Individual,Manual,2nd owner,18.6,1.2,81.83,5.0,6.0,yes,5andBelow
Maruti,800,STD,0.4,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,16.1,0.8,37.0,4.0,23.0,yes,5andBelow
Maruti,Ritz,VDI,2.2,110000 - 120000 Km,Diesel,Individual,Manual,1st owner,21.1,1.25,73.9,5.0,12.0,yes,5andBelow
